,Country name,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Freedom 2020
0,Switzerland,0.66557,0.58557,0.620070576667786,0.66,0.5720000000000001,0.62895447
1,Iceland,0.6287699999999999,0.56624,0.6271626353263849,0.677,0.591,0.661980748
2,Denmark,0.6493800000000001,0.5794100000000001,0.626006722450256,0.6829999999999999,0.5920000000000001,0.665039897
3,Norway,0.66973,0.59609,0.635422587394714,0.6859999999999999,0.603,0.670200884
4,Canada,0.63297,0.5737,0.611100912094116,0.653,0.584,0.644028127
5,Finland,0.64169,0.57104,0.6179508566856379,0.6809999999999999,0.596,0.66231674
6,Netherlands,0.6157600000000001,0.55211,0.5853844881057739,0.638,0.557,0.61362648
7,Sweden,0.6598,0.58218,0.612924098968506,0.659,0.574,0.6502977010000001
8,New Zealand,0.6393800000000001,0.5814699999999999,0.6140621304512021,0.669,0.585,0.646789908
9,Australia,0.6512399999999999,0.5683699999999999,0.601607382297516,0.647,0.557,0.621877193
10,Israel,0.41318999999999995,0.36432,0.40598860383033797,0.5329999999999999,0.371,0.42069947700000004
11,Costa Rica,0.63376,0.55225,0.580131649971008,0.632,0.5579999999999999,0.6450177429999999
12,Austria,0.62433,0.54355,0.567766189575195,0.617,0.532,0.6033688779999999
13,Mexico,0.48181,0.37709000000000004,0.412730008363724,0.479,0.433,0.553892553
14,United States,0.54604,0.48163,0.505740523338318,0.547,0.45399999999999996,0.534608245
15,Brazil,0.49049,0.40425,0.437453746795654,0.493,0.39,0.483292729
16,Luxembourg,0.61583,0.5487,0.59662789106369,0.632,0.526,0.610137045
17,Ireland,0.6177699999999999,0.54008,0.5731103420257571,0.614,0.516,0.587779939
18,Belgium,0.5845,0.51354,0.5397707223892211,0.583,0.473,0.499805421
19,United Arab Emirates,0.64157,0.56215,0.60834527015686,0.284,0.598,0.652936101
20,United Kingdom,0.59625,0.50036,0.508190035820007,0.46399999999999997,0.45,0.525168657
21,Oman,0.63274,0.34941500000000003,0.331093579530716,0.2985,0.302,0.39844293900000005
22,Venezuela,0.42908,0.19847,0.15399712324142498,0.133,0.154,0.271717221
23,Singapore,0.54252,0.4877,0.549840569496155,0.631,0.556,0.635317206
24,Panama,0.5421,0.48927,0.550026834011078,0.597,0.516,0.57984978
25,Germany,0.6147699999999999,0.53466,0.562511384487152,0.586,0.495,0.564274132
26,Chile,0.44132,0.37789,0.376895278692245,0.431,0.35700000000000004,0.41748222700000004
27,Qatar,0.6404,0.56679,0.604130983352661,0.654,0.555,0.46576656400000005
28,France,0.55011,0.46562,0.470222115516663,0.52,0.436,0.5140509010000001
29,Argentina,0.44974,0.42283999999999994,0.49451920390129106,0.57,0.47100000000000003,0.520840347
30,Czech Republic,0.46363999999999994,0.41418,0.49094617366790794,0.5429999999999999,0.457,0.505744576
31,Uruguay,0.6036199999999999,0.54388,0.5793922543525699,0.625,0.523,0.59426707
32,Colombia,0.53466,0.44735,0.47748741507530196,0.531,0.47,0.526890039
33,Thailand,0.5566399999999999,0.49553,0.580200731754303,0.637,0.557,0.609449804
34,Saudi Arabia,0.31048000000000003,0.37904,0.449750572443008,0.509,0.439,0.548477471
35,Spain,0.45951000000000003,0.37545,0.408781230449677,0.449,0.36200000000000004,0.425983816
36,Malta,0.60365,0.54994,0.588767051696777,0.645,0.564,0.633239031
37,Taiwan,0.3974,0.32377,0.5425523221492765,0.5994999999999999,0.5285,0.601750225
38,Kuwait,0.55499,0.43166000000000004,0.49633759260177596,0.5539999999999999,0.493,0.5702614189999999
39,Suriname,0.5965699999999999,0.5223399999999999,0.5074841678142544,0.5229999999999999,0.472,0.5548555853333332
40,Trinidad and Tobago,0.55884,0.48453,0.518630743026733,0.492,0.451,0.5394497516666666
41,El Salvador,0.4035,0.37269,0.432452529668808,0.461,0.43,0.5240439179999999
42,Guatemala,0.57733,0.50379,0.5313106179237371,0.604,0.535,0.613146722
43,Uzbekistan,0.6582100000000001,0.60848,0.6582486629486078,0.7240000000000001,0.631,0.6932703259999999
44,Slovakia,0.31751,0.23390999999999998,0.295817464590073,0.354,0.33399999999999996,0.423542529
45,Japan,0.49615,0.46761,0.505625545978546,0.5529999999999999,0.445,0.495465875
46,South Korea,0.33208000000000004,0.25168,0.257921665906906,0.244,0.159,0.25935635
47,Ecuador,0.48573999999999995,0.4027,0.4551981985569,0.556,0.498,0.555234551
48,Bahrain,0.45492,0.47375,0.536746919155121,0.594,0.536,0.610399902
49,Italy,0.26236,0.18827,0.256450712680817,0.281,0.231,0.321305573
50,Bolivia,0.57414,0.50961,0.5587329268455511,0.606,0.511,0.5744645
51,Moldova,0.32818,0.25201999999999997,0.24072904884815197,0.23199999999999998,0.245,0.38957148799999997
52,Paraguay,0.53899,0.46235,0.473507791757584,0.541,0.514,0.586510062
53,Kazakhstan,0.51649,0.4052,0.43745428323745705,0.45399999999999996,0.41,0.497432142
54,Slovenia,0.60855,0.53164,0.572575807571411,0.633,0.564,0.646700144
55,Lithuania,0.21341999999999997,0.18929,0.234231784939766,0.35,0.29100000000000004,0.42046079
56,Nicaragua,0.55475,0.46581999999999996,0.447551846504211,0.527,0.435,0.560117304
57,Peru,0.41496000000000005,0.37501999999999996,0.45000287890434293,0.53,0.455,0.513210058
58,Belarus,0.37938,0.29091,0.295400261878967,0.307,0.235,0.29075586800000003
59,Poland,0.53122,0.4519,0.520342111587524,0.546,0.483,0.557903528
60,Malaysia,0.5302399999999999,0.39031,0.40226498246192893,0.35600000000000004,0.508,0.596941531
61,Croatia,0.25883,0.23906999999999998,0.255772292613983,0.38,0.29600000000000004,0.38145688200000005
62,Libya,0.41668,0.40671999999999997,0.465733230113983,0.496,0.41600000000000004,0.45135405700000003
63,Russia,0.36679,0.32682,0.373783111572266,0.39899999999999997,0.33399999999999996,0.399499595
64,Jamaica,0.50442,0.43596999999999997,0.474307239055634,0.575,0.49,0.553124607
65,North Cyprus,0.49027,0.43596,0.47120362520217896,0.499,0.448,0.5062552395
66,Cyprus,0.40671999999999997,0.29507,0.35511153936386103,0.423,0.406,0.45938587200000003
67,Algeria,0.28579,0.21006,0.233335807919502,0.077,0.086,0.083943799
68,Kosovo,0.24749000000000002,0.14396,0.260287940502167,0.44799999999999995,0.489,0.557280421
69,Turkmenistan,0.4761,0.37408,0.41827192902565,0.41700000000000004,0.39399999999999996,0.515236676
70,Mauritius,0.56066,0.46145,0.491247326135635,0.584,0.498,0.590838134
71,Hong Kong,0.59608,0.48078999999999994,0.485189378261566,0.5685,0.4965,0.5837514694999999
72,Estonia,0.44888,0.41511000000000003,0.479131430387497,0.5529999999999999,0.495,0.576664805
73,Indonesia,0.46611,0.39237,0.443323463201523,0.5379999999999999,0.491,0.568161428
74,Vietnam,0.59444,0.5595399999999999,0.571055591106415,0.618,0.5429999999999999,0.650835574
75,Turkey,0.22815,0.23889000000000002,0.300740599632263,0.324,0.195,0.25440076
76,Kyrgyzstan,0.43477,0.40212,0.454943388700485,0.54,0.508,0.614617765
77,Nigeria,0.34334000000000003,0.27854,0.394952565431595,0.462,0.426,0.435079455
78,Bhutan,0.5320600000000001,0.46074,0.5015376806259161,0.541,0.457,0.45140708949999997
79,Azerbaijan,0.3703,0.35327,0.39815583825111406,0.43,0.35100000000000003,0.467734724
80,Pakistan,0.12102,0.14622000000000002,0.23521526157856,0.33399999999999996,0.313,0.405421734
81,Jordan,0.40660999999999997,0.36023,0.418421149253845,0.46799999999999997,0.38299999999999995,0.42485508299999997
82,Montenegro,0.1826,0.15111,0.194989055395126,0.259,0.19699999999999998,0.303223848
83,China,0.5169699999999999,0.44011999999999996,0.47278770804405196,0.597,0.521,0.6016051170000001
84,Zambia,0.48827,0.42662,0.461603492498398,0.503,0.431,0.49131754
85,Romania,0.35068,0.36712,0.457003742456436,0.528,0.462,0.534852326
86,Serbia,0.20107,0.15718,0.20871552824974102,0.28800000000000003,0.282,0.395428419
87,Portugal,0.51469,0.44727,0.498465299606323,0.562,0.508,0.5898951889999999
88,Latvia,0.29671,0.27996,0.32570791244506797,0.363,0.264,0.329198807
89,Philippines,0.62545,0.5485399999999999,0.585214674472809,0.643,0.5579999999999999,0.6219151620000001
90,Somaliland region,0.46581999999999996,0.40249999999999997,0.49668650329112995,0.5515,0.488,0.5359846505
91,Morocco,0.41691000000000006,0.25645999999999997,0.408158332109451,0.46,0.418,0.45005413899999996
92,Macedonia,0.33457,0.27668000000000004,0.325905978679657,0.39399999999999996,0.4063333333333333,0.4540180563333333
93,Mozambique,0.34037,0.29767,0.3537023067474365,0.4065,0.3946666666666666,0.45798197366666665
94,Albania,0.35733000000000004,0.31866,0.381498634815216,0.419,0.38299999999999995,0.461945891
95,Bosnia and Herzegovina,0.09245,0.09511,0.204403176903725,0.28,0.212,0.305365741
96,Lesotho,0.31767,0.30884999999999996,0.3784965053200725,0.429,0.35450000000000004,0.43411982050000003
97,Dominican Republic,0.57672,0.52259,0.55258983373642,0.578,0.49700000000000005,0.5628739
98,Laos,0.59591,0.52168,0.473366901278496,0.4865,0.40700000000000003,0.45928850750000005
99,Mongolia,0.43626000000000004,0.35972,0.39414396882057207,0.395,0.317,0.355703115
100,Swaziland,0.30658,0.20897,0.24493760988116273,0.263,0.192,0.2646097315
101,Greece,0.07699,0.05822000000000001,0.0957312509417534,0.131,0.067,0.17351634800000001
102,Lebanon,0.33916,0.26228,0.28851598501205394,0.503,0.21600000000000003,0.18551667
103,Hungary,0.32111999999999996,0.1977,0.17586351931095098,0.259,0.19899999999999998,0.386401802
104,Honduras,0.40148,0.26755,0.348079860210419,0.45899999999999996,0.507,0.568148077
105,Tajikistan,0.47216,0.43408,0.47156670689582797,0.292,0.389,0.521141171
106,Tunisia,0.26268,0.23553000000000002,0.289680689573288,0.271,0.16699999999999998,0.23586055600000003
107,Palestinian Territories,0.24499,0.17744000000000001,0.25471106171608,0.266,0.225,0.29870075
108,Bangladesh,0.4082,0.39778,0.478356659412384,0.58,0.527,0.604130566
109,Iran,0.30033000000000004,0.22544,0.24932260811328896,0.45899999999999996,0.305,0.301195472
110,Ukraine,0.25123,0.12859,0.12297477573156401,0.163,0.17800000000000002,0.319423705
111,Iraq,0.0,0.24856,0.288555532693863,0.304,0.24100000000000002,0.283588052
112,South Africa,0.33207,0.42483000000000004,0.479246735572815,0.516,0.389,0.43478182
113,Ghana,0.42341999999999996,0.40973000000000004,0.423026293516159,0.499,0.381,0.47729006399999996
114,Zimbabwe,0.25861,0.25429,0.336384207010269,0.406,0.361,0.37740472
115,Liberia,0.28531,0.25748000000000004,0.33288118243217496,0.419,0.37,0.405943096
116,India,0.39786,0.40285,0.469987004995346,0.539,0.498,0.5811422470000001
117,Sudan,0.10081,0.0,0.0149958552792668,0.016,0.262,0.3752198815
118,Haiti,0.24425,0.12072000000000001,0.0303698573261499,0.025,0.026000000000000002,0.169297516
119,Congo (Kinshasa),0.22605,0.15602,0.235961347818375,0.312,0.26899999999999996,0.36462298
120,Nepal,0.38282,0.37012,0.44030594825744607,0.526,0.439,0.480608255
121,Ethiopia,0.4345,0.36703,0.408842742443085,0.452,0.344,0.41256687
122,Sierra Leone,0.4084,0.30685,0.318697690963745,0.355,0.309,0.38202768600000003
123,Mauritania,0.24231999999999998,0.1268,0.0960980430245399,0.129,0.066,0.185714483
124,Kenya,0.42215,0.40576,0.45276376605033897,0.504,0.431,0.519180536
125,Djibouti,0.46074,0.273065,0.3255335167050365,0.382,0.357,0.448628172
126,Armenia,0.19847,0.14037,0.198303267359734,0.26,0.28300000000000003,0.37807580799999996
127,Botswana,0.49495,0.44088999999999995,0.505196332931519,0.557,0.455,0.50908941
128,Myanmar,0.44017,0.42691999999999997,0.514492034912109,0.58,0.525,0.5974788670000001
129,Georgia,0.40576999999999996,0.32461,0.309410035610199,0.375,0.34600000000000003,0.485494107
130,Malawi,0.43054,0.4143,0.466914653778076,0.531,0.44299999999999995,0.487389833
131,Sri Lanka,0.5372600000000001,0.50817,0.561213254928589,0.585,0.47,0.528632462
132,Cameroon,0.49309,0.42736,0.430388748645782,0.45399999999999996,0.381,0.43924248200000005
133,Bulgaria,0.30587,0.21219000000000002,0.28923171758651695,0.359,0.311,0.417820066
134,Egypt,0.17288,0.18847,0.28211015462875394,0.312,0.24100000000000002,0.37368473399999996
135,Yemen,0.35570999999999997,0.2287,0.24946372210979503,0.244,0.14300000000000002,0.243721485
136,Angola,0.10384000000000002,0.00589,0.0,0.0,0.23500000000000001,0.310627967
137,Mali,0.38856999999999997,0.27544,0.306613743305206,0.36700000000000005,0.327,0.377534449
138,Congo (Brazzaville),0.41466000000000003,0.37938,0.4350258708000179,0.514,0.37200000000000005,0.386514395
139,Comoros,0.22916999999999998,0.15412,0.43910591304302193,0.482,0.36400000000000005,0.3940984755
140,Uganda,0.45726999999999995,0.43653000000000003,0.443185955286026,0.45,0.35600000000000004,0.401682556
141,Senegal,0.36772,0.31056,0.37792226672172496,0.406,0.292,0.352400899
142,Gabon,0.31914000000000003,0.28098,0.31232857704162603,0.35600000000000004,0.295,0.36945989700000004
143,Niger,0.47691999999999996,0.38040999999999997,0.36365869641304,0.39,0.318,0.435311615
144,Cambodia,0.66246,0.5885199999999999,0.633375823497772,0.696,0.609,0.674940348
145,Tanzania,0.32878,0.3176,0.390017777681351,0.48100000000000004,0.41700000000000004,0.5093430879999999
146,Madagascar,0.19184,0.13684000000000002,0.18919676542282102,0.221,0.14800000000000002,0.192967549
147,Central African Republic,0.48878999999999995,0.13245500000000002,0.17576939612627052,0.205,0.161,0.21078465899999999
148,Chad,0.23501,0.12807000000000002,0.16234202682972002,0.18899999999999997,0.174,0.22860176899999998
149,Guinea,0.37725,0.30953,0.348587512969971,0.39399999999999996,0.332,0.37187805799999996
150,Ivory Coast,0.46866,0.40663,0.4477061927318571,0.467,0.35200000000000004,0.39712253200000003
151,Burkina Faso,0.39493,0.3337,0.32436785101890603,0.312,0.255,0.322398156
152,Afghanistan,0.23414000000000001,0.1643,0.106179520487785,0.085,0.0,0.0
153,Rwanda,0.59201,0.5432,0.5818438529968261,0.636,0.555,0.604087889
154,Benin,0.4845,0.39747,0.42596277594566295,0.44,0.349,0.40583989
155,Syria,0.15684,0.06912,0.0815394446253777,0.08800000000000001,0.013000000000000001,0.34061947449999996
156,Burundi,0.1185,0.0432,0.0599007532000542,0.065,0.22,0.275399059
157,Togo,0.36453,0.34678000000000003,0.38042613863945,0.434,0.293,0.303539038
